City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
3,Kavieng,PG,82.67,few clouds,-2.57,150.8,Nusa Island Retreat
8,Hambantota,LK,76.44,overcast clouds,6.12,81.12,Bungalow 63
14,Tadine,NC,79.34,overcast clouds,-21.55,167.88,
24,Rikitea,PF,76.93,light rain,-23.12,-134.97,Pension Maro'i
25,Alyangula,AU,77.0,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
39,Parati,BR,77.61,overcast clouds,-23.22,-44.71,Che Lagarto Paraty
45,Oistins,BB,80.06,few clouds,13.07,-59.53,Butterfly Beach Hotel
48,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
49,Hilo,US,75.2,light rain,19.73,-155.09,Hilo Hawaiian Hotel
50,Tabou,CI,79.21,light rain,4.42,-7.35,hotêl doufoulougou
51,Butaritari,KI,80.11,broken clouds,3.07,172.79,Isles Sunset Lodge
53,Georgetown,MY,77.0,scattered clouds,5.41,100.34,Cititel Penang
56,Puerto Ayora,EC,82.4,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
61,Ternate,ID,81.37,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
63,Road Town,VG,84.2,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
65,Manado,ID,75.2,few clouds,1.49,124.85,Aryaduta Hotel
66,Kapaa,US,80.6,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
72,Labuan,MY,77.0,few clouds,5.28,115.24,Tiara Labuan Hotel
73,Brufut,GM,77.0,clear sky,13.38,-16.75,Sheraton Gambia Hotel Resort & Spa
75,Cidreira,BR,77.47,scattered clouds,-30.18,-50.21,Hotel Castelo
79,Kupang,ID,78.3,moderate rain,-10.17,123.58,Sylvia Hotel Premier Kupang
83,Faanui,PF,79.18,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
84,Hithadhoo,MV,81.59,few clouds,-0.6,73.08,Scoop Guest House
89,Punta Gorda,US,80.6,broken clouds,26.93,-82.05,Four Points by Sheraton Punta Gorda Harborside
90,Jacobina,BR,83.93,clear sky,-11.18,-40.52,HOSTEL JACOBINA
93,Avarua,CK,82.4,clear sky,-21.21,-159.78,Paradise Inn
95,Boueni,YT,77.0,clear sky,-12.9,45.08,Santal Logis
