City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current description
0,Ushuaia,-54.8,-68.3,47.46,52,90,7.05,AR,overcast clouds
1,Cidreira,-30.18,-50.21,76.51,74,51,4.81,BR,broken clouds
2,Thompson,55.74,-97.86,-0.4,84,90,3.36,CA,light snow
3,Vardo,70.37,31.11,26.85,94,100,17.87,NO,overcast clouds
4,Iqaluit,63.75,-68.51,-14.8,62,20,17.22,CA,few clouds
5,Griffith,41.53,-87.42,37.99,100,90,5.82,US,drizzle
6,Santa Maria Del Oro,25.93,-105.37,72.93,18,0,13.33,MX,clear sky
7,Brae,60.4,-1.35,44.6,87,97,19.46,GB,overcast clouds
8,Puerto Ayora,-0.74,-90.35,82.4,61,20,16.11,EC,few clouds
9,Coquimbo,-29.95,-71.34,60.8,72,20,11.41,CL,few clouds
10,Husavik,66.04,-17.34,41.0,81,75,16.11,IS,broken clouds
11,Urubamba,-13.3,-72.12,68.0,30,40,27.51,PE,light rain
12,Kuruman,-27.45,23.43,70.21,21,0,16.84,ZA,clear sky
13,Atuona,-9.8,-139.03,78.57,73,1,17.45,PF,clear sky
14,Codrington,-38.27,141.97,66.16,57,100,13.0,AU,overcast clouds
15,New Norfolk,-42.78,147.06,60.01,64,100,1.01,AU,overcast clouds
16,Hobart,-42.88,147.33,60.01,71,75,10.29,AU,broken clouds
17,Nome,64.5,-165.41,17.6,48,75,14.99,US,broken clouds
18,Rikitea,-23.12,-134.97,76.86,77,100,16.37,PF,moderate rain
19,Avarua,-21.21,-159.78,82.4,74,2,5.82,CK,clear sky
20,Dolzhanskaya,46.63,37.8,36.0,53,99,25.01,RU,overcast clouds
21,East London,-33.02,27.91,68.18,75,97,5.48,ZA,overcast clouds
22,Muli,2.92,73.57,82.67,73,58,11.63,MV,broken clouds
23,Upernavik,72.79,-56.15,15.21,74,14,3.62,GL,few clouds
24,Vao,-22.67,167.48,78.17,87,100,25.97,NC,moderate rain
25,Ulaanbaatar,47.91,106.88,-27.4,67,40,2.24,MN,scattered clouds
26,Albany,42.6,-73.97,39.99,79,100,1.5,US,overcast clouds
27,Bako,5.78,36.57,67.01,51,0,3.33,ET,clear sky
28,Ossora,59.24,163.07,13.64,95,91,5.37,RU,overcast clouds
29,Biak,-0.91,122.88,77.49,78,100,1.86,ID,overcast clouds
30,San Luis,-33.3,-66.34,91.71,17,0,5.86,AR,clear sky
31,Barrow,71.29,-156.79,-0.4,70,1,28.86,US,haze
32,Lompoc,34.64,-120.46,59.0,93,90,19.46,US,overcast clouds
33,Mar Del Plata,-38.0,-57.56,67.05,52,1,17.0,AR,clear sky
34,Yar-Sale,66.83,70.83,8.01,91,9,11.54,RU,clear sky
35,Tiksi,71.69,128.87,-34.6,82,35,5.68,RU,scattered clouds
36,Busselton,-33.65,115.33,59.0,97,96,1.99,AU,overcast clouds
37,Sitka,57.05,-135.33,42.8,56,90,12.75,US,overcast clouds
38,Kodiak,57.79,-152.41,42.8,87,90,17.22,US,light rain
39,Omsukchan,62.53,155.8,-18.2,83,100,5.1,RU,overcast clouds
40,Murgab,37.5,61.97,26.6,92,90,6.93,TM,light snow
41,Port Hedland,-20.32,118.57,73.4,88,100,5.82,AU,overcast clouds
42,Bredasdorp,-34.53,20.04,60.8,82,0,2.24,ZA,clear sky
43,Kruisfontein,-34.0,24.73,62.01,92,100,1.99,ZA,overcast clouds
44,Yellowknife,62.46,-114.35,-16.01,75,20,16.11,CA,few clouds
45,Banjar,-8.19,114.97,78.8,88,20,4.7,ID,moderate rain
46,Leh,34.17,77.58,6.75,78,77,1.25,IN,broken clouds
47,Saint-Francois,46.42,3.91,46.0,81,90,10.29,FR,overcast clouds
48,Yambio,4.57,28.4,74.5,45,19,2.68,SS,few clouds
49,Port Elizabeth,-33.92,25.57,64.4,88,97,4.7,ZA,overcast clouds
50,Cape Town,-33.93,18.42,64.99,59,0,10.29,ZA,clear sky
51,Bluff,-46.6,168.33,52.0,71,95,13.0,NZ,overcast clouds
52,Kieta,-6.22,155.63,82.4,70,15,2.66,PG,few clouds
53,Bogo,11.05,124.01,79.23,84,1,5.84,PH,clear sky
54,Vaini,-21.2,-175.2,80.6,83,75,10.29,TO,broken clouds
55,Saint-Jerome,45.78,-74.0,35.01,96,90,12.75,CA,light rain
56,Jamestown,42.1,-79.24,50.0,81,90,12.75,US,overcast clouds
57,Luderitz,-26.65,15.16,69.8,60,0,17.22,NA,clear sky
58,Jalu,29.03,21.55,63.37,29,21,12.12,LY,few clouds
59,Pisco,-13.7,-76.22,71.6,73,0,11.41,PE,clear sky
60,Ngunguru,-35.62,174.5,64.99,65,6,5.99,NZ,clear sky
61,Kapaa,22.08,-159.32,80.6,69,20,14.99,US,few clouds
62,Portland,45.52,-122.68,46.99,87,75,4.54,US,broken clouds
63,Djambala,-2.54,14.75,70.45,89,100,2.68,CG,light rain
64,Shingu,33.73,135.98,43.7,79,28,6.44,JP,scattered clouds
65,Altay,47.87,88.12,0.09,52,33,4.0,CN,scattered clouds
66,Cap Malheureux,-19.98,57.61,75.0,75,11,8.01,MU,light rain
67,Longyearbyen,78.22,15.64,14.0,78,75,4.7,SJ,broken clouds
68,Buala,-8.14,159.59,83.37,73,56,2.77,SB,light rain
69,Phetchabun,16.25,101.08,72.48,78,0,4.14,TH,clear sky
70,Srednekolymsk,67.45,153.68,-21.75,87,100,4.9,RU,overcast clouds
71,Stettler,52.32,-112.72,19.4,100,100,18.34,CA,overcast clouds
72,Parana,-31.73,-60.52,82.0,58,100,5.01,AR,overcast clouds
73,Lebu,-37.62,-73.65,55.83,92,99,13.42,CL,light rain
74,Leningradskiy,69.38,178.42,10.44,95,100,9.17,RU,overcast clouds
75,Prainha,-1.8,-53.48,88.48,51,100,3.11,BR,overcast clouds
76,Dashitou,43.31,128.51,5.34,90,70,5.97,CN,broken clouds
77,Erdenet,49.03,104.08,-10.05,80,0,3.51,MN,clear sky
78,Korla,41.76,86.15,22.93,83,91,5.59,CN,overcast clouds
79,La Rioja,42.25,-2.5,48.2,87,90,3.36,ES,overcast clouds
80,Punta Arenas,-53.15,-70.92,53.6,46,20,29.97,CL,few clouds
81,Port Hawkesbury,45.62,-61.35,34.0,86,40,8.05,CA,scattered clouds
82,Sobolevo,54.43,31.9,22.6,96,100,11.92,RU,overcast clouds
83,Shimoda,34.67,138.95,44.01,93,56,8.7,JP,broken clouds
84,Puerto Cabezas,14.04,-83.39,84.2,89,75,9.17,NI,haze
85,Sabzevar,36.21,57.68,29.52,77,0,2.59,IR,clear sky
86,Samana,19.21,-69.34,80.6,83,75,4.7,DO,broken clouds
87,Georgetown,5.41,100.34,77.0,94,40,3.36,MY,scattered clouds
88,Danville,36.59,-79.39,64.4,45,1,9.17,US,clear sky
89,Cabo San Lucas,22.89,-109.91,79.0,50,0,4.0,MX,clear sky
90,Batagay-Alyta,67.8,130.41,-36.9,69,0,1.61,RU,clear sky
91,Cururupu,-1.83,-44.87,79.63,74,99,4.85,BR,overcast clouds
92,Valparaiso,-33.04,-71.63,78.8,33,0,17.22,CL,clear sky
93,Nouadhibou,20.93,-17.03,69.8,46,0,13.87,MR,clear sky
94,Nizhniy Kuranakh,58.84,125.49,-32.06,81,100,1.07,RU,overcast clouds
95,Baracoa,20.35,-74.5,79.34,70,78,5.32,CU,broken clouds
96,Nuuk,64.18,-51.72,19.4,79,75,4.7,GL,broken clouds
97,Ulladulla,-35.35,150.47,61.0,100,75,1.12,AU,broken clouds
98,Sorland,67.67,12.69,38.44,76,96,8.93,NO,overcast clouds
99,Conde,-7.26,-34.91,82.4,69,20,11.41,BR,few clouds
100,Oranjemund,-28.55,16.43,62.89,73,0,16.6,NA,clear sky
101,Hohhot,40.81,111.65,1.4,54,0,13.42,CN,clear sky
102,Vila Franca Do Campo,37.72,-25.43,60.8,93,75,14.99,PT,light rain
103,Mataura,-46.19,168.86,52.0,71,100,13.0,NZ,overcast clouds
104,Keti Bandar,24.14,67.45,66.11,38,0,8.66,PK,clear sky
