City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.92,48.2,69,75,35.57,CL,2020-12-02 20:10:46
1,Baglung,28.27,83.59,51.93,63,1,3.76,NP,2020-12-02 20:10:47
2,Lukulu,-14.37,23.24,68.04,90,83,2.95,ZM,2020-12-02 20:10:47
3,Agutaya,11.15,120.94,82.35,79,100,8.86,PH,2020-12-02 20:10:47
4,Hobart,-42.88,147.33,51.01,57,90,9.17,AU,2020-12-02 20:10:47
5,Valdosta,30.83,-83.28,57.99,28,1,6.11,US,2020-12-02 20:10:47
6,Aden,12.78,45.04,79.32,77,0,11.48,YE,2020-12-02 20:09:30
7,Honolulu,21.31,-157.86,78.01,69,20,4.7,US,2020-12-02 20:08:12
8,Paamiut,61.99,-49.67,22.86,74,17,14.29,GL,2020-12-02 20:10:48
9,Ilulissat,69.22,-51.1,10.4,66,40,23.04,GL,2020-12-02 20:08:00
10,Souillac,-20.52,57.52,77.0,94,40,10.29,MU,2020-12-02 20:10:49
11,Fortuna,40.6,-124.16,52.0,87,8,1.99,US,2020-12-02 20:10:49
12,Cabo San Lucas,22.89,-109.91,80.01,50,5,10.29,MX,2020-12-02 20:10:50
13,Misratah,32.38,15.09,67.23,46,0,10.25,LY,2020-12-02 20:10:50
14,Puerto Ayora,-0.74,-90.35,75.2,78,40,13.87,EC,2020-12-02 20:10:50
15,Longyearbyen,78.22,15.64,14.0,78,90,17.22,SJ,2020-12-02 20:10:51
16,Kupino,54.37,77.3,-2.51,90,0,1.83,RU,2020-12-02 20:10:51
17,Jamestown,42.1,-79.24,36.0,74,90,23.04,US,2020-12-02 20:10:00
18,Nikolskoye,59.7,30.79,30.2,86,90,8.95,RU,2020-12-02 20:10:51
19,Baykit,61.67,96.37,8.22,91,100,6.08,RU,2020-12-02 20:09:32
20,San Ramon,37.78,-121.98,64.99,44,1,3.36,US,2020-12-02 20:10:52
21,Ribeira Grande,38.52,-28.7,60.8,77,40,11.41,PT,2020-12-02 20:10:52
22,Avarua,-21.21,-159.78,82.4,74,55,3.36,CK,2020-12-02 20:07:16
23,Yellowknife,62.46,-114.35,21.2,92,40,4.7,CA,2020-12-02 20:09:30
24,Cape Town,-33.93,18.42,62.01,67,0,20.8,ZA,2020-12-02 20:06:18
25,Ushuaia,-54.8,-68.3,42.8,81,40,28.86,AR,2020-12-02 20:10:17
26,Port Alfred,-33.59,26.89,59.47,74,47,5.61,ZA,2020-12-02 20:10:53
27,Budogoshch,59.28,32.47,27.97,96,0,4.85,RU,2020-12-02 20:10:53
28,Coihaique,-45.58,-72.07,53.6,50,75,8.05,CL,2020-12-02 20:10:53
29,Luderitz,-26.65,15.16,60.8,72,0,19.46,NA,2020-12-02 20:10:54
30,Vaini,-21.2,-175.2,78.8,88,75,5.82,TO,2020-12-02 20:10:54
31,Palimbang,6.21,124.19,78.67,78,87,4.16,PH,2020-12-02 20:10:54
32,Avera,33.19,-82.53,55.4,32,1,4.7,US,2020-12-02 20:10:54
33,Dikson,73.51,80.55,22.86,96,100,35.01,RU,2020-12-02 20:10:54
34,Kaitangata,-46.28,169.85,52.0,60,89,28.01,NZ,2020-12-02 20:10:55
35,Qaanaaq,77.48,-69.36,3.85,89,100,3.65,GL,2020-12-02 20:10:55
36,Rikitea,-23.12,-134.97,75.88,66,60,2.24,PF,2020-12-02 20:10:55
37,San Cristobal,7.77,-72.22,87.8,55,40,3.36,VE,2020-12-02 20:10:55
38,Wuwei,37.93,102.64,13.62,89,99,1.01,CN,2020-12-02 20:10:55
39,Salinopolis,-0.61,-47.36,82.36,76,99,12.57,BR,2020-12-02 20:10:56
40,Codrington,-38.27,141.97,44.47,82,50,5.44,AU,2020-12-02 20:10:56
41,Alofi,-19.06,-169.92,80.6,94,75,8.05,NU,2020-12-02 20:10:56
